t_sec,hand_X_cm,hand_Z_cm
10.177,11.903,50.400
10.214,12.127,50.300
10.253,12.151,50.400
10.291,12.127,50.300
10.328,12.151,50.400
10.368,12.316,50.400
10.404,12.316,50.400
10.441,12.564,50.400
10.478,12.564,50.400
10.514,12.762,50.200
10.552,12.539,50.300
10.588,12.812,50.400
10.624,12.736,50.100
10.661,12.762,50.200
10.696,12.787,50.300
10.731,12.515,50.200
10.767,12.515,50.200
10.801,12.564,50.400
10.837,12.564,50.400
10.871,12.564,50.400
10.907,12.539,50.300
10.946,12.539,50.300
10.982,12.564,50.400
11.017,12.564,50.400
11.053,12.539,50.300
11.089,12.539,50.300
11.125,12.614,50.600
11.163,12.564,50.400
11.198,12.564,50.400
11.233,12.539,50.300
11.269,12.515,50.200
11.305,12.564,50.400
11.342,12.762,50.200
11.379,12.787,50.300
11.418,12.762,50.200
11.455,12.762,50.200
11.491,12.539,50.300
11.529,12.812,50.400
11.568,12.762,50.200
11.601,12.515,50.200
11.634,12.762,50.200
11.667,12.762,50.200
11.701,12.539,50.300
11.736,12.539,50.300
11.770,12.762,50.200
11.803,12.515,50.200
11.836,12.564,50.400
11.871,12.564,50.400
11.907,12.515,50.200
11.941,12.515,50.200
11.975,12.465,50.000
12.013,12.440,49.900
12.050,12.170,49.800
12.084,12.170,49.800
12.124,12.145,49.700
12.169,11.910,49.400
12.207,11.400,49.300
12.241,11.158,49.300
12.275,10.893,49.200
12.310,10.629,49.100
12.349,10.608,49.000
12.388,10.586,48.900
12.425,10.586,48.900
12.468,10.345,48.900
12.506,9.863,48.500
12.547,9.564,48.200
12.590,9.525,48.000
12.632,9.033,47.900
12.669,8.118,47.600
12.705,7.601,47.300
12.743,7.368,47.300
12.785,7.384,47.400
12.821,7.368,47.300
12.860,6.690,46.900
12.902,6.459,46.900
12.940,5.718,46.500
12.978,4.826,46.000
13.015,4.590,45.900
13.054,4.335,45.600
13.090,4.111,45.600
13.134,3.654,45.500
13.173,3.037,45.200
13.216,2.808,45.100
13.256,1.526,44.400
13.296,1.089,44.400
13.341,0.286,44.100
13.379,-0.576,43.600
13.423,-0.932,43.500
13.465,-1.357,43.400
13.502,-1.567,43.300
13.539,-2.925,42.400
13.575,-3.142,42.500
13.612,-3.134,42.400
13.652,-3.647,41.900
13.688,-3.844,41.800
13.724,-4.256,41.800
13.762,-4.461,41.800
13.803,-4.667,41.800
13.843,-5.128,41.100
13.882,-5.318,41.000
13.921,-5.666,40.600
13.957,-5.822,40.300
13.994,-5.851,40.500
14.034,-5.836,40.400
14.071,-5.865,40.600
14.109,-6.005,40.200
14.154,-6.035,40.400
14.196,-6.020,40.300
14.236,-5.836,40.400
14.275,-5.836,40.400
14.311,-6.035,40.400
14.350,-5.851,40.500
14.387,-5.836,40.400
14.422,-5.836,40.400
14.460,-5.836,40.400
14.499,-5.851,40.500
14.538,-6.020,40.300
14.572,-5.836,40.400
14.607,-5.822,40.300
14.646,-5.836,40.400
14.685,-5.851,40.500
14.721,-5.836,40.400
14.757,-5.836,40.400
14.796,-5.836,40.400
14.839,-5.836,40.400
14.876,-5.836,40.400
14.914,-5.822,40.300
14.953,-5.822,40.300
14.992,-5.836,40.400
15.032,-5.836,40.400
15.072,-5.836,40.400
15.110,-5.822,40.300
15.147,-5.836,40.400
15.189,-5.836,40.400
15.227,-5.836,40.400
15.264,-5.836,40.400
15.302,-5.822,40.300
15.337,-5.836,40.400
15.372,-5.851,40.500
15.415,-5.822,40.300
15.452,-5.666,40.600
15.491,-5.836,40.400
15.527,-5.652,40.500
15.565,-5.466,40.600
15.609,-5.253,40.500
15.648,-4.878,40.700
15.687,-4.567,40.900
15.723,-4.387,41.100
15.760,-4.174,41.000
15.802,-3.982,41.100
15.842,-3.752,40.800
15.883,-3.543,40.700
15.922,-3.217,40.800
15.961,-3.038,41.100
15.998,-2.640,41.200
16.040,-2.109,41.400
16.079,-1.096,41.600
16.120,-0.754,41.600
16.159,-0.548,41.500
16.198,-0.139,41.400
16.243,0.064,41.300
16.283,0.467,41.000
16.322,1.216,41.300
16.361,1.839,41.600
16.400,2.374,41.400
16.436,2.781,41.400
16.474,3.325,41.400
16.511,3.945,41.500
16.549,4.354,41.500
16.587,4.706,41.600
16.624,5.103,41.500
16.667,5.525,41.600
16.706,6.056,41.500
16.742,6.669,41.500
16.778,6.840,41.300
16.812,7.077,41.500
16.849,7.247,41.300
16.888,7.364,41.200
16.923,7.770,41.200
16.960,7.953,41.100
17.002,8.175,41.200
17.039,8.602,41.300
17.075,8.716,41.200
17.113,8.897,41.100
17.153,9.325,41.200
17.190,9.527,41.200
17.227,9.730,41.200
17.266,10.068,41.200
17.303,10.246,41.100
17.340,10.676,41.200
17.375,10.879,41.200
17.412,11.055,41.100
17.451,11.082,41.200
17.490,11.257,41.100
17.527,11.230,41.000
17.569,11.257,41.100
17.605,11.739,40.900
17.643,11.912,40.800
17.680,11.882,40.700
17.722,12.223,40.500
17.764,12.223,40.500
17.807,12.193,40.400
17.845,12.391,40.400
17.881,12.493,40.300
17.920,12.462,40.200
17.959,12.524,40.400
17.996,12.493,40.300
18.037,12.493,40.300
18.077,12.524,40.400
18.116,12.524,40.400
18.154,12.462,40.200
18.193,12.462,40.200
18.230,12.462,40.200
18.273,12.524,40.400
18.311,12.462,40.200
18.350,12.493,40.300
18.392,12.493,40.300
18.432,12.462,40.200
18.474,12.462,40.200
18.513,12.524,40.400
18.554,12.493,40.300
18.590,12.493,40.300
18.627,12.493,40.300
18.661,12.493,40.300
18.698,12.462,40.200
18.735,12.493,40.300
18.770,12.462,40.200
18.805,12.462,40.200
18.838,12.462,40.200
18.873,12.462,40.200
18.906,12.493,40.300
18.940,12.493,40.300
18.974,12.330,40.200
19.009,12.361,40.300
19.043,12.299,40.100
19.079,12.299,40.100
19.113,12.102,40.100
19.148,11.845,39.900
19.183,11.649,39.900
19.220,11.452,39.900
19.256,11.200,39.700
19.294,10.874,39.700
19.331,10.625,39.500
19.368,9.965,39.200
19.415,9.747,39.100
19.456,8.972,38.800
19.495,8.568,38.700
19.536,8.270,38.200
19.575,7.315,37.800
19.613,7.091,37.600
19.650,6.685,37.400
19.690,5.946,37.000
19.729,5.717,36.700
19.766,5.521,36.600
19.807,4.986,36.200
19.842,4.238,35.900
19.881,3.735,35.600
19.918,3.017,35.400
19.958,2.711,35.200
19.993,2.173,34.900
20.028,1.525,34.500
20.064,1.010,34.300
20.103,0.385,33.800
20.145,-0.278,33.500
20.183,-0.713,33.300
20.223,-1.344,32.700
20.263,-1.656,32.500
20.305,-2.082,32.500
20.343,-2.655,31.700
20.383,-2.680,32.000
20.420,-3.207,31.500
20.457,-3.649,31.300
20.497,-3.740,31.200
20.535,-4.034,31.100
20.570,-4.326,31.000
20.616,-4.601,30.800
20.657,-4.838,30.700
20.696,-4.854,30.800
20.739,-5.005,30.800
20.781,-5.291,30.700
20.822,-5.594,30.700
20.860,-5.657,30.500
20.898,-5.918,30.300
20.938,-5.918,30.300
20.977,-5.918,30.300
21.015,-5.694,30.700
21.053,-5.769,30.300
21.088,-5.694,30.700
21.127,-5.676,30.600
21.163,-5.676,30.600
21.200,-5.676,30.600
21.241,-5.788,30.400
21.279,-5.657,30.500
21.314,-5.657,30.500
21.347,-5.575,30.600
21.384,-5.575,30.600
21.425,-5.575,30.600
21.463,-5.575,30.600
21.500,-5.575,30.600
21.540,-5.575,30.600
21.578,-5.575,30.600
21.613,-5.539,30.400
21.654,-5.575,30.600
21.692,-5.539,30.400
21.728,-5.539,30.400
21.767,-5.539,30.400
21.805,-5.389,30.400
21.838,-5.389,30.400
21.874,-5.407,30.500
21.907,-5.389,30.400
21.942,-5.389,30.400
21.978,-5.257,30.500
22.017,-5.257,30.500
22.057,-5.257,30.500
22.094,-5.240,30.400
22.131,-5.107,30.500
22.171,-5.107,30.500
22.210,-5.107,30.500
22.245,-5.090,30.400
22.281,-5.240,30.400
22.315,-5.389,30.400
22.352,-5.240,30.400
22.389,-5.372,30.300
22.428,-5.372,30.300
22.466,-5.124,30.600
22.510,-5.372,30.300
22.549,-5.521,30.300
22.589,-5.639,30.400
22.627,-5.750,30.200
22.666,-5.879,30.100
22.709,-5.639,30.400
22.750,-5.879,30.100
22.790,-5.879,30.100
22.830,-5.918,30.300
22.869,-5.879,30.100
22.916,-5.879,30.100
22.961,-5.899,30.200
23.003,-5.899,30.200
23.047,-5.879,30.100
23.085,-5.731,30.100
23.127,-5.731,30.100
23.167,-5.731,30.100
23.211,-5.602,30.200
23.255,-5.372,30.300
23.296,-5.318,30.000
23.341,-5.006,29.900
23.386,-4.794,29.500
23.424,-4.633,29.400
23.466,-4.422,29.600
23.510,-4.144,29.700
23.542,-3.572,29.800
23.579,-3.223,30.200
23.615,-2.936,30.300
23.658,-2.629,30.200
23.696,-2.530,30.200
23.735,-2.255,30.500
23.776,-1.961,30.600
23.813,-1.569,30.800
23.849,-1.413,30.700
23.883,-1.111,30.700
23.923,-0.817,31.000
23.961,-0.666,31.100
23.998,-0.260,31.400
24.035,0.049,31.500
24.077,0.359,31.500
24.113,0.930,31.600
24.148,1.397,31.600
24.183,1.662,31.700
24.221,1.974,31.700
24.261,2.465,32.000
24.298,2.554,31.800
24.337,2.719,31.900
24.375,3.042,32.000
24.414,3.537,32.200
24.452,3.789,32.100
24.491,3.935,32.000
24.529,4.421,32.100
24.563,4.407,32.000
24.599,4.551,31.900
24.640,4.655,31.900
24.678,5.094,31.700
24.717,5.562,31.700
24.755,5.545,31.600
24.795,5.804,31.600
24.834,6.115,31.600
24.874,6.519,31.300
24.911,7.215,31.200
24.949,7.522,31.200
24.987,7.698,31.500
25.033,7.828,31.400
25.079,8.137,31.400
25.122,8.628,31.500
25.160,8.628,31.500
25.202,,
25.247,,
25.293,,
25.332,9.796,31.600
25.371,9.765,31.500
25.416,,
25.459,10.458,30.800
25.500,10.627,31.000
25.543,10.627,31.000
25.579,10.780,31.000
25.615,10.780,31.000
25.657,,
25.694,11.049,30.900
25.732,,
25.773,,
25.816,11.049,30.900
25.858,,
25.893,10.897,30.900
25.934,,
25.979,,
26.019,,
26.057,10.897,30.900
26.100,,
26.144,,
26.186,,
26.227,,
26.268,,
26.312,,
26.352,,
26.396,,
26.435,,
26.483,,
26.524,,
26.566,,
26.614,,
26.656,,
26.699,,
26.744,,
26.783,10.932,31.000
26.828,,
26.865,10.897,30.900
26.908,,
26.958,,
27.000,,
27.040,10.710,30.800
27.085,,
27.127,,
27.169,,
27.217,,
27.260,,
27.300,,
27.341,,
27.385,,
27.428,,
27.478,,
27.522,7.779,28.400
27.561,7.558,28.100
27.598,7.420,28.100
27.635,7.093,27.900
27.676,6.880,27.600
27.722,6.630,27.500
27.764,6.290,27.200
27.800,5.733,27.100
27.842,5.358,27.000
27.887,4.737,26.500
27.927,4.502,26.400
27.967,4.081,26.200
28.004,3.967,26.300
28.042,3.809,26.100
28.082,3.453,26.000
28.118,3.312,25.900
28.159,3.160,25.700
28.200,3.022,25.600
28.238,2.885,25.500
28.280,2.644,25.200
28.322,,
28.364,,
28.403,,
28.444,,
28.482,,
28.518,0.152,23.500
28.557,-0.193,23.300
28.593,-0.192,23.200
28.628,,
28.663,,
28.699,,
28.735,,
28.779,-6.398,19.300
28.824,-7.265,19.000
28.862,-7.733,19.000
28.901,-7.888,19.000
28.942,,
28.985,,
29.025,,
29.067,,
29.108,,
29.150,,
29.192,,
29.234,,
29.280,,
29.322,,
29.363,,
29.407,,
29.450,,
29.487,,
29.530,,
29.570,,
29.615,,
29.655,,
29.695,,
29.737,,
29.779,,
29.815,,
29.854,,
29.896,,
29.933,,
29.972,,
30.014,,
30.051,,
30.091,,
30.133,,
30.180,,
30.225,,
30.269,,
30.315,-8.183,18.400
30.358,-7.915,18.200
30.403,,
30.449,-7.604,18.100
30.495,-7.277,18.100
30.536,-6.921,18.100
30.581,-6.487,18.300
30.625,-6.157,18.300
30.665,,
30.705,,
30.760,-5.405,18.400
30.799,,
30.834,,
30.872,,
30.916,,
30.958,,
31.002,,
31.046,,
31.086,,
31.124,,
31.167,,
31.212,,
31.257,,
31.301,,
31.340,,
31.381,,
31.425,,
31.470,,
31.512,,
31.554,,
31.596,,
31.637,,
31.672,,
31.705,,
31.744,,
31.788,,
31.823,,
31.860,,
